Date,prices
1999-11-01,15.5625283981713
1999-11-02,15.2328138134643
1999-11-03,15.0033324625082
1999-11-04,14.9532158456327
1999-11-05,15.3330470472152
1999-11-08,15.5124117812958
1999-11-09,15.2169875133983
1999-11-10,15.2671041302738
1999-11-11,14.9690421456986
1999-11-12,15.1668708965229
1999-11-15,15.3646996473471
1999-11-16,15.6284713151127
1999-11-17,15.810473765871
1999-11-18,15.9423595997538
1999-11-19,15.9581858998197
1999-11-22,17.2453916385159
1999-11-23,17.5751062232229
1999-11-24,17.9206471079959
1999-11-26,17.5566422064793
1999-11-29,17.7307315072046
1999-11-30,17.7651036380716
1999-12-01,18.0295046447403
1999-12-02,17.8312038897388
1999-12-03,18.0612327655405
1999-12-06,17.0803050307996
1999-12-07,15.5996593934547
1999-12-08,15.8640604001234
1999-12-09,16.4272345443278
1999-12-10,16.7233636717968
1999-12-13,16.3928624134609
1999-12-14,16.1945616584594
1999-12-15,15.8323322793232
1999-12-16,15.4674588901204
1999-12-17,15.7979601484563
1999-12-20,15.7477239571892
1999-12-21,15.4515948297202
1999-12-22,15.4674588901204
1999-12-23,15.6657596451219
1999-12-27,15.7318598967891
1999-12-28,15.6340315243217
1999-12-29,15.5837953330546
1999-12-30,15.4515948297202
1999-12-31,15.4013586384532
2000-01-03,14.8725566251157
2000-01-04,14.9227928163828
2000-01-05,15.0867214405174
2000-01-06,15.0708573801173
2000-01-07,16.062361155125
2000-01-10,15.5494232021877
2000-01-11,16.0782252155251
2000-01-12,16.2606619101265
2000-01-13,16.0121249638579
2000-01-14,16.1443254671923
2000-01-18,17.1860654334671
2000-01-19,17.2521656851343
2000-01-20,17.4187383193355
2000-01-21,17.6831393260043
2000-01-24,17.1543373126668
2000-01-25,17.4187383193355
2000-01-26,16.6731274805297
2000-01-27,15.7318598967891
2000-01-28,15.0549933197172
2000-01-31,15.1871938230515
2000-02-01,15.3696305176529
2000-02-02,14.9069287559827
2000-02-03,14.608155618447
2000-02-04,14.8725566251157
2000-02-07,15.039129259317
2000-02-08,15.1210935713843
2000-02-09,15.0708573801173
2000-02-10,14.98889306805
2000-02-11,14.6901199305143
2000-02-14,14.312026490978
2000-02-15,14.7244920613812
2000-02-16,14.1613179171769
2000-02-17,13.830816658841
2000-02-18,13.584923722639
2000-02-22,13.6827520951065
2000-02-23,13.5505515917721
2000-02-24,13.1698141421691
2000-02-25,12.8736850147002
2000-02-28,13.0376136388348
2000-02-29,12.8578209543001
2000-03-01,13.4844513401049
2000-03-02,13.1222219609688
2000-03-03,13.2544224643031
2000-03-06,12.9556493267675
2000-03-07,12.461219444297
2000-03-08,12.5590478167644
2000-03-09,12.3607470617629
2000-03-10,12.0302458034269
2000-03-13,11.6124922128904
2000-03-14,11.4957037197779
2000-03-15,12.6237743918872
2000-03-16,13.2050625735153
2000-03-17,13.0404969695841
2000-03-20,12.8892027853247
2000-03-21,13.1227797715497
2000-03-22,12.4910601951685
2000-03-23,12.4751344915622
2000-03-24,12.4751344915622
2000-03-27,12.0106348030466
2000-03-28,11.9124262974747
2000-03-29,12.4432830843497
2000-03-30,12.8892027853247
2000-03-31,12.459208787956
2000-04-03,13.0882740804028
2000-04-04,13.9031392482559
2000-04-05,12.6423543794278
2000-04-06,12.1433489997654
2000-04-07,12.2601374928778
2000-04-10,11.9442777046872
2000-04-11,12.5255658863153
2000-04-12,12.8732770817185
2000-04-13,12.5414915899216
2000-04-14,12.4751344915622
2000-04-17,12.8732770817185
2000-04-18,12.9077827728653
2000-04-19,13.0564226731903
2000-04-20,13.1227797715497
2000-04-24,13.1732111663028
2000-04-25,13.4041338685934
2000-04-26,13.1227797715497
2000-04-27,12.8069199833591
2000-04-28,12.5414915899216
2000-05-01,12.2760631964841
2000-05-02,12.2760631964841
2000-05-03,12.8732770817185
2000-05-04,12.8732770817185
2000-05-05,12.4910601951685
2000-05-08,12.8732770817185
2000-05-09,13.4041338685934
2000-05-10,14.0172734574341
2000-05-11,14.2163447525122
2000-05-12,13.8686335571091
2000-05-15,13.7359193603903
2000-05-16,12.990065574831
2000-05-17,12.8069199833591
2000-05-18,13.1227797715497
2000-05-19,13.287345375481
2000-05-22,13.4545652633466
2000-05-23,13.2714196718747
2000-05-24,13.9854220502216
2000-05-25,13.9854220502216
2000-05-26,14.4817731459497
2000-05-30,14.3012818384122
2000-05-31,14.1685676416934
2000-06-01,14.1340619505466
2000-06-02,13.9509163590747
2000-06-05,13.8022764587497
2000-06-06,13.7518450639966
2000-06-07,14.0677048521872
2000-06-08,14.0172734574341
2000-06-09,13.8845592607153
2000-06-12,13.9694963466153
2000-06-13,14.2136904685778
2000-06-14,14.1125064599967
2000-06-15,14.8793747355588
2000-06-16,14.7781907269777
2000-06-19,14.4959405977777
2000-06-20,14.0965300375892
2000-06-21,14.2456433133929
2000-06-22,14.9459431622569
2000-06-23,15.4119221491436
2000-06-26,15.710148700751
2000-06-27,15.4119221491436
2000-06-28,15.9897360928831
2000-06-29,15.7261251231586
2000-06-30,15.2947617181549
2000-07-03,15.4944669982492
2000-07-05,15.6435802740529
2000-07-06,15.6941722783435
2000-07-07,15.6435802740529
2000-07-10,15.32671456297
2000-07-11,14.9619195846644
2000-07-12,14.9459431622569
2000-07-13,15.4278985715511
2000-07-14,15.3453537224455
2000-07-17,15.2681343474757
2000-07-18,15.4944669982492
2000-07-19,16.1095592609396
2000-07-20,16.1095592609396
2000-07-21,16.2054177953849
2000-07-24,15.7767171274491
2000-07-25,15.7767171274491
2000-07-26,15.6595566964605
2000-07-27,16.0935828385321
