Date,prices
2021-07-29,54.255
2021-07-30,53.75
2021-08-02,54.78
2021-08-03,56.5
2021-08-04,60.6
2021-08-05,66.58
2021-08-06,64.54
2021-08-09,61.34
2021-08-10,59.54
2021-08-11,61.49
2021-08-12,62.22
2021-08-13,62.49
2021-08-16,58.88
2021-08-17,59.91
2021-08-18,59.9
2021-08-19,60.67
2021-08-20,61.08
2021-08-23,62.64
2021-08-24,61.17
2021-08-25,62.5
2021-08-26,61.7
2021-08-27,63.19
2021-08-30,64.21
2021-08-31,65.19
2021-09-01,64.96
2021-09-02,65.63
2021-09-03,66.33
2021-09-07,66.66
2021-09-08,63.45
2021-09-09,64.15
2021-09-10,63.16
2021-09-13,64.59
2021-09-14,67.01
2021-09-15,67.16
2021-09-16,68.17
2021-09-17,67.85
2021-09-20,66.17
2021-09-21,68.04
2021-09-22,68.52
2021-09-23,67.82
2021-09-24,67.85
2021-09-27,64.89
2021-09-28,61.02
2021-09-29,61.26
2021-09-30,61.19
2021-10-01,61.5
2021-10-04,60.35
2021-10-05,60.98
2021-10-06,62.56
2021-10-07,62.94
2021-10-08,62.33
2021-10-11,62.53
2021-10-12,63.43
2021-10-13,65.38
2021-10-14,67.07
2021-10-15,67.29
2021-10-18,68.17
2021-10-19,69.56
2021-10-20,68.3
2021-10-21,69.85
2021-10-22,69.3
2021-10-25,69.6
2021-10-26,69.14
2021-10-27,66.09
2021-10-28,67.15
2021-10-29,67.22
2021-11-01,68.36
2021-11-02,69.71
2021-11-03,69.85
2021-11-04,72.0
2021-11-05,73.65
2021-11-08,74.11
2021-11-09,73.99
2021-11-10,70.68
2021-11-11,72.54
2021-11-12,74.57
2021-11-15,75.5
2021-11-16,76.35
2021-11-17,77.35
2021-11-18,77.35
2021-11-19,77.09
2021-11-22,74.01
2021-11-23,67.64
2021-11-24,70.78
2021-11-26,70.01
2021-11-29,69.86
2021-11-30,61.7
2021-12-01,59.33
2021-12-02,62.51
2021-12-03,56.91
2021-12-06,60.08
2021-12-07,62.78
2021-12-08,65.95
2021-12-09,62.91
2021-12-10,63.75
2021-12-13,62.03
2021-12-14,60.46
2021-12-15,64.25
2021-12-16,61.44
2021-12-17,62.73
2021-12-20,61.32
2021-12-21,64.58
2021-12-22,64.9
2021-12-23,65.72
2021-12-27,66.82
2021-12-28,64.72
2021-12-29,64.49
2021-12-30,64.73
2021-12-31,64.2
2022-01-03,61.46
2022-01-04,58.81
2022-01-05,54.32
2022-01-06,54.39
2022-01-07,52.5
2022-01-10,53.24
2022-01-11,56.73
2022-01-12,55.08
2022-01-13,52.71
2022-01-14,51.44
2022-01-18,49.26
2022-01-19,48.97
2022-01-20,48.11
2022-01-21,45.99
2022-01-24,49.48
2022-01-25,47.37
2022-01-26,46.68
2022-01-27,46.31
2022-01-28,48.84
2022-01-31,52.86
2022-02-01,54.3
2022-02-02,52.52
2022-02-03,49.11
2022-02-04,52.0
2022-02-07,52.29
2022-02-08,53.65
2022-02-09,55.81
2022-02-10,56.95
2022-02-11,55.69
2022-02-14,55.35
2022-02-15,58.78
2022-02-16,56.22
2022-02-17,53.3
2022-02-18,52.54
2022-02-22,51.26
2022-02-23,48.99
2022-02-24,54.58
2022-02-25,55.46
2022-02-28,54.69
2022-03-01,55.57
2022-03-02,55.08
2022-03-03,53.14
2022-03-04,53.0
2022-03-07,48.18
2022-03-08,49.87
2022-03-09,53.5
2022-03-10,53.01
2022-03-11,50.0
2022-03-14,48.73
2022-03-15,51.94
2022-03-16,56.94
2022-03-17,57.43
2022-03-18,58.81
2022-03-21,56.31
2022-03-22,58.02
2022-03-23,59.1
2022-03-24,59.35
2022-03-25,56.41
2022-03-28,57.57
2022-03-29,58.95
2022-03-30,58.09
2022-03-31,59.74
2022-04-01,60.04
2022-04-04,60.75
2022-04-05,58.0
2022-04-06,56.35
2022-04-07,56.27
2022-04-08,55.36
2022-04-11,54.05
2022-04-12,54.36
2022-04-13,57.16
2022-04-14,55.0
2022-04-18,54.06
2022-04-19,56.68
2022-04-20,54.92
2022-04-21,51.25
2022-04-22,49.79
2022-04-25,50.94
2022-04-26,47.94
2022-04-27,47.65
2022-04-28,48.95
2022-04-29,47.4
2022-05-02,49.2
2022-05-03,51.99
2022-05-04,54.11
2022-05-05,49.61
2022-05-06,46.75
2022-05-09,42.34
2022-05-10,42.07
2022-05-11,40.24
2022-05-12,40.32
2022-05-13,44.03
2022-05-16,42.58
2022-05-17,44.1
2022-05-18,41.23
2022-05-19,40.1
2022-05-20,39.67
2022-05-23,38.69
2022-05-24,34.61
2022-05-25,36.35
2022-05-26,37.29
2022-05-27,41.08
2022-05-31,40.39
2022-06-01,40.9
2022-06-02,42.53
2022-06-03,41.27
2022-06-06,40.98
2022-06-07,40.74
2022-06-08,40.44
2022-06-09,37.34
2022-06-10,34.97
2022-06-13,31.05
2022-06-14,31.07
2022-06-15,33.99
2022-06-16,31.43
2022-06-17,33.0
2022-06-21,34.32
2022-06-22,34.67
2022-06-23,36.68
2022-06-24,37.71
2022-06-27,36.45
2022-06-28,34.93
2022-06-29,34.19
2022-06-30,33.24
2022-07-01,33.89
2022-07-05,36.73
2022-07-06,36.04
2022-07-07,37.03
2022-07-08,36.65
2022-07-11,36.19
2022-07-12,35.85
2022-07-13,35.95
2022-07-14,35.41
2022-07-15,36.23
2022-07-18,36.24
2022-07-19,38.57
2022-07-20,40.17
2022-07-21,39.95
2022-07-22,37.64
2022-07-25,37.1
2022-07-26,35.45
2022-07-27,37.05
2022-07-28,37.52
2022-07-29,37.89
2022-08-01,37.73
2022-08-02,41.97
2022-08-03,44.78
2022-08-04,46.66
2022-08-05,47.73
2022-08-08,48.0
2022-08-09,46.48
2022-08-10,49.9
2022-08-11,48.82
2022-08-12,49.92
2022-08-15,51.11
2022-08-16,51.59
